worktree_id	head	mode	branch	dirty	disposition
90f5e8e4fb6fb87a	79262133a7393db09de05e7988a9d34ddc5d748a	detached	-	clean	preserve_registration_branch_and_existing_work
913f077536237b07	6136a1c73f3d1584f6609a19123844345b797fca	branch	codex/5558-v1-route-corrective	dirty	preserve_registration_branch_and_existing_work
96655687d34d1ac4	e2cca4f6ad6d4e0ad0b0a527fe0d22886b7233bb	branch	codex/5542-wp17-closeout-truth	dirty	preserve_registration_branch_and_existing_work
96e89f4f7784633c	697527ddb37a06738ce47a3a3cbd9d07d22ac724	branch	codex/5746-v0918-terminal-reconcile-wave	dirty	preserve_registration_branch_and_existing_work
98fc5981f24ffcd5	5c356ff5f7cf95d9545726a55b99fc826f7972d7	branch	codex/4643-v0917-quality-gate	dirty	preserve_registration_branch_and_existing_work
9abd838bd69c022a	18d3cb93017469521dd0f50c9bc032d6d59ea184	branch	codex/5890-wp02-post-merge-parity-repair	dirty	preserve_registration_branch_and_existing_work
9bb99609687e74ae	6f545a418c34fcf7787ea22a602e648e1cb9c6ab	branch	codex/5801-v0-92-wp-02a-ci-coverage-reliability	clean	preserve_registration_branch_and_existing_work
9dc0241dbd71e1db	cab1c09af639d73403d2b5ea49e8dc7798b07ca8	branch	codex/5812-v0-92-freedom-gate-clippy	clean	preserve_registration_branch_and_existing_work
9f02ad742f1bd536	278855f6b451f9ef2aaa69c959bb4af07cf8b756	branch	codex/wp19-handoff-canonical-name	clean	preserve_registration_branch_and_existing_work
9fb7af0832982822	4d4117bbd3ad513ce5bde20ec7ee8df58e55e249	branch	codex/post-migration-build-acceleration-plan	clean	preserve_registration_branch_and_existing_work
9ffcd6eb08265d1d	899451406bbcb4f3bbc379ad2f1b39d68dce7aff	branch	codex/5860-foundation-readiness	clean	preserve_registration_branch_and_existing_work
a09259954e917f01	19c2b6e2ad18bddc75db9231643a54b2a446ce72	detached	-	clean	preserve_registration_branch_and_existing_work
a0a5b7d4106733b1	47b6158c4a013db8a257d6efc07f307b69fdf9fd	branch	codex/4650-v0917-release-ceremony	dirty	preserve_registration_branch_and_existing_work
a1aa6a19c313f3f5	f87011f67a3d2dde73c4ac00e70de85e96c7498f	branch	codex/4741-v0-91-7-unity-tooling-make-unity-editor-liveness-and-batch-proof-reliable-for-observatory-worktrees	dirty	preserve_registration_branch_and_existing_work
a2544904413c4304	05ba1f2b1ad48380b6181c2eee1127925cf3d16b	branch	codex/5408-wp07-runtime-hardening-review-fix	dirty	preserve_registration_branch_and_existing_work
a34b4117a408205e	b22474696cdf20497ae0510fe48e7f412b59dacc	branch	codex/5818-v0-92-wp-01b-canonical-documentation-and-version-activation	clean	preserve_registration_branch_and_existing_work
a50fe5b66f23b39a	5955cd7a371ba3b9d45049f751fbba6f8ca644ba	branch	codex/5860-quality-release-exact-repair	clean	preserve_registration_branch_and_existing_work
a6d5bafc635444a0	291be16ecbc3767c26755308a0944df24ef20574	branch	codex/5756-minimax-billing-classification	dirty	preserve_registration_branch_and_existing_work
a776c40a4414eca0	f8dfa3083199dccd28c76b54ed4a5ba2f0bf6752	branch	codex/5306-v0-91-7-csdlc-v2-gate-10d2-approved-bounded-v1-deletion-wave	dirty	preserve_registration_branch_and_existing_work
a7a9579470d7bc24	beaf7065c95051bd6077cad4751cf388a76d18ba	branch	codex/5860-quality-release-rollback-serialization	clean	preserve_registration_branch_and_existing_work
ab1805e6e2480d0d	daed41cb4336277e708f8fff95e2fe3a2a37cc72	branch	codex/5862-sprint-readiness-packet	dirty	preserve_registration_branch_and_existing_work
acd1a4d7e37d649a	54b4e0645b5b603bd93cc0e1f19c55e88be534c6	branch	codex/5817-v092-wp01	clean	preserve_registration_branch_and_existing_work
afbcbc15fa7c97f0	8e206363ee75f5517862a03d8cc5dc07efa4128a	branch	codex/5541-gate10d2-authority-docs	dirty	preserve_registration_branch_and_existing_work
afc6ce7fe08dcf83	4ea25d29746376b169343081643b09b353c044bf	branch	codex/5778-derived-terminal-finish	clean	preserve_registration_branch_and_existing_work
b0ebc4ce60d16be9	beef44740709cb32a22148073e7c71a84e8d4e9b	branch	codex/5409-terminal-reconcile	clean	preserve_registration_branch_and_existing_work
b17fd52ca4c15c96	d8b39153d8f3b5ba91d517820ccc3dc7e3875fea	detached	-	clean	preserve_registration_branch_and_existing_work
b1fa80ab5d0e0f44	d736baca1c82c6ca9b770678ff2c04ce44458fc9	branch	codex/4762-v0918-wp14-preparation	dirty	preserve_registration_branch_and_existing_work
